The Witch Hunt is the greatest political scam in U.S. history! #MAGA,Donald J. Trump
I want future generations to know that we are a people that see our differences as a great gift. -President Obama #SOTU,Barack Obama
"Thank you to @DiamondandSilk for the really nice words and thoughts on @LouDobbs, tonight hosted by Lou's friend, @DavidAsmanfox. Great job by all. P.S. Check out these two great women on tour tomorrow night in NYC at the Marriott Marquis Hotel, Broadway. Have fun!",Donald J. Trump
Billionaire Tech Investor Peter Thiel believes Google should be investigated for treason. He accuses Google of working with the Chinese Government. @foxandfriends  A great and brilliant guy who knows this subject better than anyone! The Trump Administration will take a look!,Donald J. Trump
Rep Tlaib wants to cut off aid to Israel. This is the new face the of Democrat Party? Read the AOC PLUS 3 statements on their hatred of Jews and Israel. Check out Rep. Omar (the great people of Minnesota won't stand for this).,Donald J. Trump
I want to make sure all our kids get a great education from the earliest age. -President Obama,Barack Obama
Trump Used Asian Accent to Mock US Allies at Fundraiser  via @RollingStone,Toomas Hendrik Ilves
"Thanks to health care reform, Doris finally has an affordable plan.  #ThisIsWhy",Barack Obama
Take a moment and say what you're ready to fight for in 2015:,Barack Obama
"If you meet the criteria, you can come out of the shadows and get right with the law. -President Obama #ImmigrationAction",Barack Obama
"Funke's health coverage isn't in jeopardy, and she can afford it, too:  #ThisIsWhy",Barack Obama
"We should immediately pass Voter ID @Voteridplease to insure the safety and sanctity of our voting system. Also, Paper Ballots as backup (old fashioned but true!). Thank you!",Donald J. Trump
The disinformation age: a revolution in propaganda | Books | The Guardian,Toomas Hendrik Ilves
Funders Are Ready To Pull Out Of Facebook's Academic Data Sharing Project  via @CraigSilverman,Toomas Hendrik Ilves
"....Then, on top of it all, Kathleen Parker, of all people, wrote In Case You Were Wondering, Trump Won The Debate. True, but what is going on at the @washingtonpost? NOT Fake News!",Donald J. Trump
"Cambridge Analytica did work for Leave.EU, emails show",Toomas Hendrik Ilves
"Such a great victory in court yesterday on the Russian Hoax, the greatest political scam in the history of our Country. TREASON! Hopefully, the Attorney Generel of the United States, and all of those working with him, will find out, in great detail, what happened. NEVER AGAIN!!!!",Donald J. Trump
"The New York Times is at its lowest point in its long and storied history. Not only is it losing a lot of money, but it is a journalistic disaster, being laughed at even in the most liberal of enclaves. It has become a very sad joke all all over the World. Witch Hunt hurt them...",Donald J. Trump
I promise not to do this to Greenland!,Donald J. Trump
"In the weekly address, President Obama lays the foundation for focusing on middle-class economics:",Barack Obama
"Yeah, a meaningless tune, from Beethoven's 9th Symphony. A boor compounding the boorishness of Brexit parliamentarians:",Toomas Hendrik Ilves
"An excellent undertaking. If the Senate won't do anything, citizens can.",Toomas Hendrik Ilves
The science is clear: We have to #ActOnClimate. #SOTU,Barack Obama
Congratulations to @edhenry and his sister on a great success. What a wonderful thing to do!,Donald J. Trump
"Watch: Last night, President Obama sat in for @StephenAtHome during The Word.",Barack Obama
Chip in to be a part of this movement for change:,Barack Obama
These senators are at odds with 97% of climate scientists and NASA. #ActOnClimate,Barack Obama
Microsoft catches Russian state hackers using IoT devices to breach networks,Toomas Hendrik Ilves
More than 16 million Americans have gained the security of health care coverage. -President Obama,Barack Obama
Short thread,Toomas Hendrik Ilves
I want to make sure that this is a country where hard work is rewarded. -President Obama,Barack Obama
Facebook ads funded by 'dark money' are the right's weapon for 2020,Toomas Hendrik Ilves
Guess that lack of legitimacy really irks them. Which is pretty funny given all the lawlessness of the Kremlin's current behavior.,Toomas Hendrik Ilves
More than 16 million Americans have gained the security of health insurance. -President Obama #BetterWithObamacare,Barack Obama
Check this off your bucket list.,Barack Obama
"Brexit has cut UK productivity by up to 5%, says BoE",Toomas Hendrik Ilves
Cutting carbon pollution will lead to a safer climate. Take action:,Barack Obama
It's the final countdown: Only five days left in the enrollment period. #GetCovered now.,Barack Obama
Are you ready for Round 2? You should be part of this:,Barack Obama
"Departing MCAS Cherry Point in North Carolina for Fayetteville, North Carolina. This is amazing!",Donald J. Trump
"I know President Xi of China very well. He is a great leader who very much has the respect of his people. He is also a good man in a tough business. I have ZERO doubt that if President Xi wants to quickly and humanely solve the Hong Kong problem, he can do it. Personal meeting?",Donald J. Trump
"Six years ago, the President signed the Lilly Ledbetter Fair Pay Act-but the fight for equal pay is far from over.",Barack Obama
Doing really well!,Donald J. Trump
"This week, we embrace our cherished lands and waters, and celebrate the ways they enrich our nation. -President Obama #FindYourPark",Barack Obama
Article and thread by the indefatigable @NatashaBertrand,Toomas Hendrik Ilves
President Obama is speaking at 12:45 p.m. ET about how far the housing market has come since the recession. Tune in:,Barack Obama
"If you support cutting carbon pollution from the air, add your name here:  #ActOnClimate",Barack Obama
Retweet if you agree: #LoveIsLove. #SOTU,Barack Obama
"Let's keep fighting for real, lasting change:",Barack Obama
"I have not forgotten that when it was announced that I was going to do The Apprentice, and when it then became a big hit, helping NBC's failed lineup greatly, @DebraMessing came up to me at an Upfront &amp; profusely thanked me, even calling me Sir. How times have changed!",Donald J. Trump
"Estonia, the Netherlands and former DDR... have no dominant religion.",Toomas Hendrik Ilves
"If you share the broad vision I outlined tonight, join me in the work at hand. -President Obama #SOTU #AmericaLeads",Barack Obama
"When we rip down and totally replace a badly broken and dilapidated Barrier on the Southern Border, something which cannot do the job, the Fake News Media gives us zero credit for building a new Wall. We have replaced many miles of old Barrier with powerful new Walls!",Donald J. Trump
"Just as I said, Alabama was originally projected to be hit. The Fake News denies it!",Donald J. Trump
"Most of these immigrants have been here a long time. They work hard, often in tough, low-paying jobs. -President Obama #ImmigrationAction",Barack Obama
Dutch agencies provide crucial intel about Russia's interference in US-elections  via @volkskrant,Toomas Hendrik Ilves
Read how one organizer found his inspiration to take action:,Barack Obama
"It's now up to us to choose who we want to be over the next 15 years, and for decades to come. -President Obama #SOTU",Barack Obama
"Thank you, working hard!",Donald J. Trump
"In a short while I will be presenting the New York @Yankees @MarianoRivera, the greatest relief pitcher (Closer!) of all time, with the Presidential Medal of Freedom in the East Room of the @WhiteHouse!",Donald J. Trump
"Digital nomads, enabled the world 'round by the #estonianmafia at @TransferWise",Toomas Hendrik Ilves
"China is doing very badly, worst year in 27 - was supposed to start buying our agricultural product now - no signs that they are doing so. That is the problem with China, they just don't come through. Our Economy has become MUCH larger than the Chinese Economy is last 3 years....",Donald J. Trump
Activist financier targets Cyprus over Russian dirty cash,Toomas Hendrik Ilves
"Side with cleaner air, not big polluters:",Barack Obama
LIVE: President Obama is speaking about the life and legacy of Senator Ted Kennedy in Boston.,Barack Obama
GRU too or just SVR?,Toomas Hendrik Ilves
The mysterious afterlife of Cambridge Analytica and its trove of data,Toomas Hendrik Ilves
Western leaders defend liberal values after Putin attack | Financial Times,Toomas Hendrik Ilves
It's a long tradition. A good deal of the Tartu University archives are in Moscow 100 years later.,Toomas Hendrik Ilves
Are Russia's Mercenaries a Threat to U.S. Interests? - Carnegie Endowment for International Peace,Toomas Hendrik Ilves
"Five years ago, health care reform became law. Since then, it's helped 16M people get covered:  #BetterWithObamacare",Barack Obama
"Great meeting this morning with President @AlsisiOfficial of Egypt at the Hotel du Palais in Biarritz, France! #G7Summit",Donald J. Trump
"If we're going to be connected, then we need to be protected. -President Obama #Cybersecurity",Barack Obama
A good short video on what the Molotov-Ribbentrop Pact and its secret protocols were.,Toomas Hendrik Ilves
"Just remember, the Iranians never won a war, but never lost a negotiation!",Donald J. Trump
"I know nothing about an Air Force plane landing at an airport (which I do not own and have nothing to do with) near Turnberry Resort (which I do own) in Scotland, and filling up with fuel, with the crew staying overnight at Turnberry (they have good taste!). NOTHING TO DO WITH ME",Donald J. Trump
"Elijah Cummings spends all of his time trying to hurt innocent people through Oversight. He does NOTHING for his very poor, very dangerous and very badly run district! Take a look.... #BlacksForTrump2020",Donald J. Trump
Opinion | Trump Goes Godly - The New York Times,Toomas Hendrik Ilves
"In the weekly address, the President lays out his plan to ensure more kids graduate from school ready for the future:",Barack Obama
I was with you all the way Alabama. The Fake News Media was not!,Donald J. Trump
Wouldn't it be nice to fly to D.C. to meet President Obama? Here's your chance:,Barack Obama
Your commitment makes this grassroots movement what it is. Own a piece of it:,Barack Obama
Trump Retweet Can Be a Death Sentence on Far-Right Twitter,Toomas Hendrik Ilves
A very happy birthday to the @VP.,Barack Obama
"Get it, read it... by @peterpomeranzev , the author of Nothing is true and everything is possible",Toomas Hendrik Ilves
"The U.S. has done it, yes, but via behind the scenes diplomacy,  not via tweet, without the owner knowing anything about it.",Toomas Hendrik Ilves
"The Economy is doing GREAT, with tremendous upside potential! If the Fed would do what they should, we are a Rocket upward!",Donald J. Trump
"Like it or not, Tlaib and Omar are fast becoming the face of the Democrat Party. Cortez (AOC) is fuming, not happy about this!",Donald J. Trump
"I was right about Comey, CROOKED COP!",Donald J. Trump
"Elijah Cummings has had his chance to address it (crime &amp; conditions in Baltimore) for decades, and he hasn't gotten it done. @PeteHegseth @foxandfriends  How can he get it done when he just wants to use his Oversight Committee to hurt innocent people and divide our Country!",Donald J. Trump
Justice Kavanaugh should sue The Failing New York Times for all they are worth!,Donald J. Trump
Any Republican comment?,Toomas Hendrik Ilves
Liberals should cheer the return of state power  via @financialtimes,Toomas Hendrik Ilves
"In 2014, our economy created 3.1 million jobs-and that's the best year of job growth since the 1990s. -President Obama",Barack Obama
thread.,Toomas Hendrik Ilves
Next stop: Kansas. Tune in at 12:25 p.m. ET to watch President Obama talk about middle-class economics.,Barack Obama
Such False and Inaccurate reporting thus far on the G-7. The Fake News knows this but they can't help themselves! Leaving now to have breakfast with Boris J.,Donald J. Trump
Fake: European Union Ceases to Believe in NATO and the US - Disinfo Portal,Toomas Hendrik Ilves
Kafka's Parable of the Leopards in the Temple,Toomas Hendrik Ilves
Add your name.,Barack Obama
There's no better time to be thankful for your health--but make sure you're prepared for anything:  #GetCovered,Barack Obama
WHAT!?!,Toomas Hendrik Ilves
You don't have much time left to get health insurance by January 1st. #GetCovered now:,Barack Obama
"Meanwhile, the Brexit govt announces an EU-led maritive protection mission for British shipping in the Gulf...",Toomas Hendrik Ilves
America's resurgence is real. Don't let anybody tell you otherwise. -President Obama #MadeInAmerica,Barack Obama
"LIVE: President Obama is at Del Sol High School in Las Vegas, discussing his #ImmigrationAction. Watch here:",Barack Obama
Retweet if you believe solar energy is critical to America's future. #GoSolar,Barack Obama
"Talk to your friends, talk to your neighbors, talk about why this work matters. -President Obama to @OFA supporters",Barack Obama
Uber rival Bolt has closed another tranche of funding at a $1B+ valuation - TechCrunch  by @ingridlunden via @nuzzel,Toomas Hendrik Ilves
"WATCH: In the weekly address, President Obama talks about the historic understanding reached with Iran.",Barack Obama
"Today, our immigration system is broken, and everybody knows it. -President Obama #ImmigrationAction",Barack Obama
I'm not pushing these ideas for my sake. I'm pushing them because I think this is where America needs to go. -President Obama #Leadership,Barack Obama
"Before Obamacare, finding coverage was nearly impossible for Rick:  #ThisIsWhy",Barack Obama
"The vindication belongs to the President for firing James Comey. It was clearly the right thing to do. You don't want an FBI Director with Jim Comey's ethics. Jason Riley, Wall Street Journal",Donald J. Trump
How Taiwan cracked open its digital skills agenda  via @apoliticalco,Toomas Hendrik Ilves
House Republicans should support the TWO YEAR BUDGET AGREEMENT which greatly helps our Military and our Vets. I am totally with you!,Donald J. Trump
"Such a phony hurricane report by lightweight reporter @jonkarl of @ABCWorldNews. I suggested yesterday at FEMA that, along with Florida, Georgia, South Carolina and North Carolina, even Alabama could possibly come into play, which WAS true. They made a big deal about this...",Donald J. Trump
LIVE: President Obama is speaking at @KUNews about middle-class economics. Tune in:,Barack Obama
"Terrible shootings in ElPaso, Texas. Reports are very bad, many killed. Working with State and Local authorities, and Law Enforcement. Spoke to Governor to pledge total support of Federal Government. God be with you all!",Donald J. Trump
"After nine years, the best source of truthiness is coming to an end. Congratulations @StephenAtHome.",Barack Obama
More ground-breaking work from @CASBSStanford,Toomas Hendrik Ilves
Nashville has one of the fastest growing immigrant populations in the country ... They are us. -President Obama #ImmigrationAction,Barack Obama
"An amazing thread on a troll, a Saudi expert brit with non-native English who ends up as Jasmine via Narva, Estonia. You will need to go to continue via replies",Toomas Hendrik Ilves
"Spoke to my two good friends, Prime Minister Modi of India, and Prime Minister Khan of Pakistan, regarding Trade, Strategic Partnerships and, most importantly, for India and Pakistan to work towards reducing tensions in Kashmir. A tough situation, but good conversations!",Donald J. Trump
"Stay calm, but act fast: There's one day left to enter for the chance to meet President Obama.",Barack Obama
"Bryan Dean Wright, former CIA Officer(Dem): In 2016 we had a Coup. We have to take Comey and others to task. Makes no sense not to prosecute him. Comey got a book deal. I fear for my Country. He tried to kneecap our duly elected president, and there are no consequences. @fox&amp;Fs",Donald J. Trump
This will do wonders for serious scientists in Russia who are anyway emigrating in droves,Toomas Hendrik Ilves
Such a beautiful Opening Statement by Corey Lewandowski! Thank you Corey! @CLewandowski_,Donald J. Trump
Intelligence Community disappointed Mueller didn't investigate the Steele Dossier. @TuckerCarlson @FoxNews ...And plenty of other things!,Donald J. Trump
"And the Stanford Cyber Policy Center's recommendations on election security referenced in Michael @McFaul 's article (alas, with a bad link) can be found here:",Toomas Hendrik Ilves
"Thank you Jon, working hard!",Donald J. Trump
"Free flight, free hotel, and a chance to meet the President? Enter today:",Barack Obama
"FACT: The annual average unemployment rate fell 1.2 percent between 2013 and 2014, the largest decline since 1984.",Barack Obama
U.S. spy chief creates a new head of election security for intelligence agencies,Toomas Hendrik Ilves
Russians feel the pain of Vladimir Putin's regime  via @financialtimes,Toomas Hendrik Ilves
"Thanks to #Obamacare, 16.4 million more Americans have the security of health coverage.",Barack Obama
Have health insurance on February 1st. Sign up today.  #GetCovered,Barack Obama
"Yesterday, it was my great honor to host our third annual Made in America Showcase at the @WhiteHouse....",Donald J. Trump
"When women do well, everybody does well. - President Obama #WomenSucceed",Barack Obama
Hackers Can Break Into an iPhone Just by Sending a Text  via @WIRED,Toomas Hendrik Ilves
"General Motors, which was once the Giant of Detroit, is now one of the smallest auto manufacturers there. They moved major plants to China, BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?",Donald J. Trump
Obamacare is reducing costs and improving access to health care for millions. That's worth fighting for:,Barack Obama
I want to know how the interpreter translated a German snort into English,Toomas Hendrik Ilves
"For all of the Fake News Reporters that don't have a clue as to what the law is relative to Presidential powers, China, etc., try looking at the Emergency Economic Powers Act of 1977. Case closed!",Donald J. Trump
I believe America is not a place where higher education is a privilege reserved for the few. -President Obama #CollegeOpportunity,Barack Obama
4. Block all efforts to safeguard the integrity of elections.,Toomas Hendrik Ilves
"The slight glimmer of hindsight that comes from 35 years of doing foreign policy, it's a rule: every Western foreign minister lacking relevant experience comes in believing all earlier officeholders were idiots. But *he* or *she* will be the one to set Russia relations right.",Toomas Hendrik Ilves
A new bill aims to protect US voters from the next Cambridge Analytica - via @techreview,Toomas Hendrik Ilves
"It was NEVER agreed that Robert Mueller could use one of his many Democrat Never Trumper lawyers to sit next to him and help him with his answers. This was specifically NOT agreed to, and I would NEVER have agreed to it. The Greatest Witch Hunt in U.S. history, by far!",Donald J. Trump
We're also our brother's keeper ... our sister's keeper. We're also a country that believes everyone gets a fair shot. -President Obama,Barack Obama
Watch the weekly address: President Obama discusses America's resurgence and how he'll continue to build progress.,Barack Obama
MIDNIGHT DEADLINE: All donations will be matched dollar for dollar by other supporters.,Barack Obama
Meanwhile... Tankies' little helpers. @NataliaAntonova @iAmTheWarax,Toomas Hendrik Ilves
It's Time to Talk About A2/AD: Rethinking the Russian Military Challenge@WarOnTheRocks,Toomas Hendrik Ilves
"The Great State of North Carolina has EARLY VOTING for a very important Congressional (Ninth) race. Please vote early (now), or on Election Day, September 10th, for Dan Bishop, a great guy. His opponent wants Open Borders, Sanctuary Cities &amp; is weak on Crime, Military &amp; Vets!",Donald J. Trump
"The Democrats were trying mightily to revive the badly &amp; irrevocably tarnished Witch Hunt Hoax until Robert Mueller put on the greatest display of ineptitude &amp; incompetence that the Halls of Congress have ever seen. Truth is, he had no facts on his side. Nothing he could do!",Donald J. Trump
We must humanise cyber: Seebeck,Toomas Hendrik Ilves
"Just spoke to Governor @HenryMcMaster of South Carolina regarding Hurricane Dorian. I informed Henry that we are monitoring South Carolina and stand by ready to assist. Be safe everyone, we are totally with you!",Donald J. Trump
"With a wink and a nod, the Kremlin sends a chilling message to its foes.",Toomas Hendrik Ilves
Thank you @RepDougCollins!,Donald J. Trump
We are reaching singularity,Toomas Hendrik Ilves
Will you weigh in on #Obamacare?,Barack Obama
@TerryMoran @ABCPolitics,Donald J. Trump
"What I'm describing is accountability-a common-sense, middle-ground approach. -President Obama #ImmigrationAction",Barack Obama
Have you signed the #RaiseTheWage petition yet?  Say you're ready for America to get a raise.,Barack Obama
"Huvitav kull... The ... tape provides the first hard evidence of Russia's clandestine attempts to fund Europe's nationalist movements, and the apparent complicity of some senior figures from the far right in those attempts.",Toomas Hendrik Ilves
Get the tools needed to make a difference in your community--apply for the @OFA 2015 Spring Fellowship Program:,Barack Obama
"Face It, You Probably Got A Tax Cut! This was a New York Times headline, and it is very true. If Republicans take back the House, and keep the Senate and Presidency, one of our first acts will be to approve a major middle income Tax Cut! Democrats only want to raise your taxes!",Donald J. Trump
"Brutal, from @TheRickWilson",Toomas Hendrik Ilves
We need a budget that works for every American-not just the wealthy few.,Barack Obama
LIVE: President Obama and @FLOTUS discuss expanding efforts to help #LetGirlsLearn around the world.,Barack Obama
Get a state-by-state breakdown on how much the President's #ImmigrationAction will benefit the economy:,Barack Obama
Sometimes active measures get very active.,Toomas Hendrik Ilves
Great going Harris!,Donald J. Trump
I believe that higher education is one of the best investments anybody can make in their future. -President Obama #CollegeOpportunity,Barack Obama
"Cap is an upper limit, what's meant here is minimal threshold. The headline here is silly but the article is worth reading to understand bad policy (lest others think of copying this)",Toomas Hendrik Ilves
Major consideration is being given to naming ANTIFA an ORGANIZATION OF TERROR. Portland is being watched very closely. Hopefully the Mayor will be able to properly do his job!,Donald J. Trump
Finland's EU presidency wants to push rule of law,Toomas Hendrik Ilves
Oh give it a break,Toomas Hendrik Ilves
Met police examine Vladimir Putin's role in Salisbury attack,Toomas Hendrik Ilves
Tune in tomorrow: The President will address the nation on the common-sense steps he's taking on immigration.,Barack Obama
Tune in at 4:10 p.m. ET to watch President Obama speak about the economy at Lawson State Community College:,Barack Obama
Facebook spearheads new deepfake detection effort  via @financialtimes,Toomas Hendrik Ilves
"Can you believe it? I'm at 94% approval in the Republican Party, and have Three Stooges running against me. One is Mr. Appalachian Trail who was actually in Argentina for bad reasons....",Donald J. Trump
"Why didn't Robert Mueller &amp; his band of 18 Angry Democrats spend any time investigating Crooked Hillary Clinton, Lyin' &amp; Leakin' James Comey, Lisa Page and her Psycho lover, Peter S, Andy McCabe, the beautiful Ohr family, Fusion GPS, and many more,  including HIMSELF &amp; Andrew W?",Donald J. Trump
Ready for #ImmigrationAction.,Barack Obama
@carlbildt,Toomas Hendrik Ilves
"Mueller was asked whether or not the investigation was impeded in any way, and he said no. In other words, there was NO OBSTRUCTION. @KatiePavlich @FoxNews",Donald J. Trump
WE ARE BUILDING THE WALL...,Donald J. Trump
WATCH: The President is in Chicago speaking about how to help fix our broken immigration system.  #ImmigrationAction,Barack Obama
"Add your name: @OFA is going all in for #Obamacare, and here's how you can do your part.  #ReadySetEnroll",Barack Obama
The Republican budget would strip health insurance for millions of Americans. -President Obama,Barack Obama
"Silly me, I forgot to add the all-important #feralhogs hashtag to my tweet. Mea culpa. Iaceo puercos ad margaritas (yes, it's inverted on purpose)",Toomas Hendrik Ilves
Happening now: President Obama speaks about investing in precision medicine to improve health and disease treatment.,Barack Obama
Watch the message that aired tonight during the #Grammys from President Obama: #ItsOnUs to stop sexual assault.,Barack Obama
Take care of yourself today-#GetCovered for tomorrow:,Barack Obama
"Our immigration system has been broken for a very long time, and everyone knows it. -President Obama #ImmigrationAction",Barack Obama
"Law Enforcement is at the scene of shootings in Gilroy, California. Reports are that shooter has not yet been apprehended. Be careful and safe!",Donald J. Trump
You subtweet some world leaders *simply* by reading a book,Toomas Hendrik Ilves
Just like your favorite romantic comedies-but with benefits:  #GetCoveredNow,Barack Obama
"Because of my Administration, drug prices are down for the first time in almost 50 years - but the American people need Congress to help. I like Sen. Grassley's drug pricing bill very much, and it's great to see Speaker Pelosi's bill today. Let's get it done in a bipartisan way!",Donald J. Trump
"Congratulations, Great Show!",Donald J. Trump
"21st century businesses will rely on American science, technology, research and development. -President Obama #SOTU",Barack Obama
Pretty generous deal: 4.66 dollars for having all your sensitive personal financial information stolen.,Toomas Hendrik Ilves
"How do you impeach a President who has helped create perhaps the greatest economy in the history of our Country? All time best unemployment numbers, especially for Blacks, Hispanics, Asians &amp; Women. More people working today than ever before. Rebuilt Military &amp; Choice for Vets...",Donald J. Trump
"Sadly, much truth to this!",Donald J. Trump
"Read how #Obamacare is a major reason why we've seen an estimated 50,000 fewer preventable patient deaths:",Barack Obama
It is expected that China will be buying large amounts of our agricultural products!,Donald J. Trump
"This is a joke or photoshopped, right?",Toomas Hendrik Ilves
"Australian government, spooks, and industry all on different cyber pages  via @ZDNet &amp; @stilgherrian",Toomas Hendrik Ilves
"Congratulations to @JudgeJeanine Pirro on having, again, the Number One Best Selling Book!",Donald J. Trump
Digital services tax: France is giving unilateralism a go  via @TheEconomist,Toomas Hendrik Ilves
"JOBS, JOBS, JOBS!",Donald J. Trump
From Telegram to Twitter: Top Puerto Rican Officials Plotted Possible Information Operation by @DFRLab,Toomas Hendrik Ilves
How Europe's smallest nations are battling Russia's cyberattacks  via @yahooph,Toomas Hendrik Ilves
Thank you Bill. Very nice!,Donald J. Trump
The costs of military adventurism and aggression when your country can't afford it:,Toomas Hendrik Ilves
You don't need a stamp to send this holiday card:,Barack Obama
To those members of Congress who question my authority to make our immigration system work better  Pass a bill. -President Obama,Barack Obama
Don't miss the annual turkey pardoning at 2:15 p.m. ET:,Barack Obama
Hidden history: The Nazi-Soviet pact which Russia now tries to deny,Toomas Hendrik Ilves
Why are we not surprised?,Toomas Hendrik Ilves
Tonight the President will announce the actions he's taking to fix our broken immigration system. Tune in at 8 pm ET:,Barack Obama
"94% Approval Rating in the Republican Party, an all time high. Ronald Reagan was 87%. Thank you!",Donald J. Trump
Happy Birthday Vince!,Donald J. Trump
Year in review: The U.S. economy took a major step forward in 2014.,Barack Obama
This is a pretty funny yet ultimately silly article. They speak as if the Libs are making them wear yellow T-s to identify them.  via @nypost,Toomas Hendrik Ilves
It's up to us to restore the ideals that made this country great. -President Obama #WomenSucceed,Barack Obama
"Looking forward to soon being in North Carolina to hold a big rally for wonderful Dan Bishop, who is running for Congress. His opponent wants Open Borders, Sanctuary Cities, and Socialism. He likes the Squad more than North Carolina. Dan has my Full and Complete Endorsement!",Donald J. Trump
Looks rather compromised. Why even bother?,Toomas Hendrik Ilves
Just leaving the Great State of Ohio for New York and a few big days at the United Nations. Your Country will be well represented!,Donald J. Trump
"Going full-bore Kremlin, straight out of Putin's language on Ukraine, or any other nation once invaded, occupied and colonized by Russia. I used to think imperial phantom limb pain disappears after a generation but turns out not even a century suffices.",Toomas Hendrik Ilves
"Russia beating U.S. in race for global influence, Pentagon study says",Toomas Hendrik Ilves
When Leninists Overreach by Nina L. Khrushcheva @ProSyn,Toomas Hendrik Ilves
"Check out a FANTASTIC new book, STILL WINNING - Why America Went All In On Donald Trump-And Why We Must Do It Again by the great writer, @CharlesHurt. An excellent read. Thank you!",Donald J. Trump
Today I announced nearly $500 million in new public and private investment for American manufacturing. -President Obama,Barack Obama
So who did the choosing? God or Putin?,Toomas Hendrik Ilves
"Watch: @OFA is a grassroots movement dedicated to the fight for real, lasting change.",Barack Obama
Opinion | Facebook isn't ready for 2020,Toomas Hendrik Ilves
"Thank you John, you are a special guy!",Donald J. Trump
It IS worth criticizing the selection process and geographical distribution if not the people themselves,Toomas Hendrik Ilves
I don't think you mean spying for Estonia here:,Toomas Hendrik Ilves
UPDATED: Estonia-based Hongkonger proposes the Baltic Way-inspired human chain in Hong Kong  via @estonianworld,Toomas Hendrik Ilves
"As your President, one would think that I would be thrilled with our very strong dollar. I am not! The Fed's high interest rate level, in comparison to other countries, is keeping the dollar high, making it more difficult for our great manufacturers like Caterpillar, Boeing,.....",Donald J. Trump
The incredibly frustrating reason there's no Lyme disease vaccine  via @voxdotcom,Toomas Hendrik Ilves
Congratulations to Louisiana's Champions. See you at the White House!,Donald J. Trump
"Liberal Hollywood is Racist at the highest level, and with great Anger and Hate! They like to call themselves Elite, but they are not Elite. In fact, it is often the people that they so strongly oppose that are actually the Elite. The movie coming out is made in order....",Donald J. Trump
Please do read this by @Andrew__Roth,Toomas Hendrik Ilves
It's about who we are as a country and who we want to be for future generations. -President Obama #ImmigrationAction,Barack Obama
"As usual, the Fed did NOTHING! It is incredible that they can speak without knowing or asking what I am doing, which will be announced shortly. We have a very strong dollar and a very weak Fed. I will work brilliantly with both, and the U.S. will do great...",Donald J. Trump
"No matter who you are, no matter where you live, our parks ... are your birthright as Americans.  -President Obama  #FindYourPark",Barack Obama
October has been a good month for marriage equality:  #LoveIsLove,Barack Obama
